time,open,high,low,close
1719358140,61721.96,61721.96,61700,61705
1719358200,61705,61705.98,61670,61670.01
1719358260,61670,61706,61670,61698.35
1719358320,61698.35,61740,61698.34,61740
1719358380,61740,61747.79,61736.9,61747.79
1719358440,61747.79,61750,61747.78,61750
1719358500,61750,61750,61710.02,61710.03
1719358560,61710.03,61710.03,61700.02,61700.03
1719358620,61700.03,61709,61695.39,61695.4
1719358680,61695.39,61695.4,61676.5,61676.51
1719358740,61676.51,61695.39,61676.5,61677.99
1719358800,61677.99,61706,61677.99,61706
1719358860,61706,61706,61704,61704.01
1719358920,61704.01,61718.1,61690.01,61690.02
1719358980,61690.01,61718.06,61690.01,61718.06
1719359040,61718.06,61720,61710.01,61720
1719359100,61720,61736,61706,61732.01
1719359160,61732.01,61764.98,61732,61740.01
1719359220,61740.01,61769.73,61740,61769.73
1719359280,61769.72,61769.72,61755.99,61756
1719359340,61756,61766.84,61755.99,61766.84
1719359400,61766.84,61769.73,61766.83,61769.73
1719359460,61769.73,61769.73,61762.01,61766.77
1719359520,61766.77,61774,61766.76,61774
1719359580,61774,61774,61766.77,61773.34
1719359640,61773.33,61825.65,61771.86,61790.01
1719359700,61790.01,61825.66,61790,61822.22
1719359760,61822.21,61825.66,61813.55,61825.66
1719359820,61825.65,61825.65,61816.38,61816.39
1719359880,61816.39,61824,61816.38,61824
1719359940,61824,61824,61806,61806.01
1719360000,61806.01,61835.04,61805.31,61835.04
1719360060,61835.03,61848.41,61826,61826.01
1719360120,61826.01,61826.01,61773.9,61773.91
1719360180,61773.91,61773.91,61738.2,61761.87
1719360240,61761.87,61761.87,61734,61734.01
1719360300,61734.01,61736.32,61732.01,61732.02
1719360360,61732.02,61732.02,61732.01,61732.02
1719360420,61732.02,61758.11,61732.01,61758.11
1719360480,61758.1,61770,61758.1,61770
1719360540,61770,61807.99,61769.99,61772.31
1719360600,61772.31,61861.15,61750,61861.14
1719360660,61861.14,61861.14,61814.45,61816.38
1719360720,61816.38,61816.38,61734.02,61738
1719360780,61738,61761.83,61737.99,61754.59
1719360840,61754.58,61754.59,61750,61750.42
1719360900,61750.41,61763.18,61743.5,61744.23
1719360960,61744.23,61792.23,61744.23,61792.23
1719361020,61792.22,61797.9,61784,61784.01
1719361080,61784.01,61799.99,61782.88,61782.89
1719361140,61782.88,61782.89,61782.88,61782.89
1719361200,61782.89,61796,61780,61780.01
1719361260,61780.01,61794,61780.01,61788.02
1719361320,61788.01,61789.81,61780,61788.03
1719361380,61788.03,61820,61788.02,61807.16
1719361440,61807.16,61807.16,61784.87,61784.88
1719361500,61784.88,61826.73,61784.88,61826
1719361560,61825.99,61837.24,61811.07,61811.08
1719361620,61811.07,61811.08,61802.58,61802.59
1719361680,61802.58,61828.57,61802.58,61828.19
1719361740,61828.19,61839.16,61828.18,61839.16
1719361800,61839.16,61839.36,61820,61820.01
1719361860,61820.01,61820.01,61800,61800.01
1719361920,61800.01,61804.01,61770.01,61770.02
1719361980,61770.01,61770.02,61754.76,61754.77
1719362040,61754.77,61778,61754.76,61772.01
1719362100,61772.01,61772.01,61744.95,61758.02
1719362160,61758.02,61780,61758.01,61770.45
1719362220,61770.45,61780,61770.44,61771.51
1719362280,61771.51,61771.51,61760,61763
1719362340,61763,61763,61760,61760.01
1719362400,61760,61760.01,61744,61744.01
1719362460,61744.01,61744.01,61700,61703.99
1719362520,61703.98,61703.99,61694.35,61694.36
1719362580,61694.36,61694.36,61643.48,61643.49
1719362640,61643.49,61674.01,61643.48,61674.01
